Dataset,Day,Date,Surge_Price,Discount_Price,Base_Revenue,New_Revenue,Revenue_Gain_Pct,Base_Util,Adj_Util,Peak_Queue_Reduction_Pct,Off_Peak_Uplift_Pct,Customer_Response_Rate,Pricing_Efficiency
ACN-Caltech,1,2018-10-31,22.0,10.0,9973.54116964062,10054.572084665317,0.8124588212594451,0.26567180907172994,0.22597417775652084,28.979030103704613,6.569064909995706,0.13636363068106178,15.982304789774084
ACN-Caltech,2,2018-11-01,22.5,10.3,8266.234970018004,8256.148710975453,-0.12201757001988693,0.22975865912208507,0.19654229555053515,20.264166443862116,1.8757649025180376,0.12161016862142357,15.769229293449577
ACN-Caltech,3,2018-11-02,22.0,9.8,6076.073354674884,6108.579587010926,0.5349874900872658,0.11658243312757202,0.1045840519631431,36.97082264933305,5.470334742324867,0.059301380840395254,16.035208878149398
ACN-Caltech,4,2018-11-03,22.5,10.100000000000001,2358.551105732524,2308.554298998148,-2.1198101924879165,0.027710476680384087,0.02734608122624649,4.66314022887254,-4.130844958851937,0.013823064720928237,14.661872688610428
ACN-Caltech,5,2018-11-04,22.0,9.600000000000001,2254.9437563100673,2171.1465184578615,-3.7161564503627518,0.03323838305898491,0.03217004453421152,-4.543030989386095,0.9473987118953401,0.014601420420083179,14.268126484423323
ACN-Caltech,6,2018-11-05,21.5,9.100000000000001,8694.52817363972,8832.137723135002,1.5827144009087752,0.17837748628257888,0.15430439135771118,36.126749183641465,10.487994434823133,0.0989541426572241,16.48730490622003
ACN-Caltech,7,2018-11-06,22.0,9.400000000000002,8078.26717809999,8070.831369418744,-0.09204707540997988,0.15665444958847738,0.14008846985063475,23.25772088772215,1.3306431557427523,0.07653910074743978,15.784551467333811
ACN-Caltech,8,2018-11-07,21.5,8.900000000000002,6487.025428000707,6417.046257382433,-1.0787559166363543,0.1347781635802469,0.12060612682164046,24.1462418620061,0.4490515431604277,0.06854838674666609,15.5238644601243
ACN-Caltech,9,2018-11-08,21.0,8.400000000000002,7587.6692390585395,7686.519692811019,1.302777580809936,0.14642618312757202,0.13100025697858428,40.82940357573015,8.212961407383881,0.0717196410035055,16.26666660752472
ACN-Caltech,10,2018-11-09,21.5,8.700000000000003,8151.281758831145,8134.831193273273,-0.20181569039798763,0.157454561042524,0.14070956992909925,24.069783321306126,7.214127375173797,0.0727348288669188,15.718668510003251
ACN-Caltech,11,2018-11-10,21.0,9.000000000000004,3748.405625759925,3544.047798138912,-5.45186001793838,0.06860703875171469,0.06502841964497341,-20.3656689424124,5.938305040991396,0.03024193478770051,13.801139829042802
ACN-Caltech,12,2018-11-11,20.5,9.300000000000004,2926.2704632030095,2921.270912365343,-0.17085060661796717,0.04993677126200275,0.04601221167101017,12.878158385235288,6.002938060308476,0.02136075880156961,15.366545131162614
ACN-Caltech,13,2018-11-12,20.0,9.600000000000005,6695.573524102753,6894.552766737503,2.9718028174649023,0.1429295267489712,0.12774267993686234,51.81703786889362,2.766885323773013,0.08049167234725163,16.706857228999272
ACN-Caltech,14,2018-11-13,20.5,9.100000000000005,6825.618179639743,6664.404502696775,-2.3618912265533916,0.15514167524005487,0.14072580972233806,11.881529159688657,5.26106212952754,0.07739059881149395,14.972930941306052
ACN-Caltech,15,2018-11-14,20.0,9.400000000000006,7630.81548598217,7455.602709146255,-2.2961212619772877,0.12817451131687244,0.12194947826543494,13.472620972401913,7.074213616609749,0.05960264878173254,14.787997610494228
ACN-Caltech,16,2018-11-15,19.5,9.700000000000006,9153.458629441422,9153.101627067848,-0.003900191042820328,0.1463158007544582,0.13738052107702078,19.620864004537317,7.255237399406007,0.0668049789905632,15.405727295342578
ACN-Caltech,17,2018-11-16,19.0,10.000000000000007,7176.2225994719665,7136.151424076453,-0.5583881330333414,0.11279728223593966,0.1085754099927154,15.096057338043412,4.6378747687584765,0.054913294616485135,15.17374794826289
ACN-Caltech,18,2018-11-17,18.5,9.500000000000007,2972.0788240237243,2983.2105674029276,0.374544015764996,0.037632458847736625,0.035948070256453524,19.982870394576988,10.545611271319453,0.019230769177579682,15.46134727651199
ACN-Caltech,19,2018-11-18,19.0,9.800000000000008,3539.250282641601,3397.84710490992,-3.995286188862063,0.04212512860082304,0.04210252053739205,-11.248121389298612,3.8729671414735947,0.015910898904463063,14.111383413835215
ACN-Caltech,20,2018-11-19,18.5,9.300000000000008,9138.764557281098,9144.712063727333,0.06507998328390813,0.15309692215363513,0.145894244828565,18.343730583336153,8.663763263828304,0.07704785026760232,15.37365819083004
ACN-Caltech,21,2018-11-20,19.0,9.600000000000009,8386.523132639515,8320.787440560716,-0.783825323547421,0.16521926440329218,0.1567135481650014,17.51677213271906,9.511096506888125,0.07660283033951928,15.088504700348013
ACN-Caltech,22,2018-11-21,18.5,9.90000000000001,6336.425404028137,6226.992377355301,-1.7270467131712879,0.10136616941015088,0.09792401159414922,8.774636955068656,5.918551463427282,0.047269763356713505,14.779652997730636
ACN-Caltech,23,2018-11-22,18.0,10.20000000000001,2306.5392095565985,2240.2427560117308,-2.8742825298679233,0.027964677640603567,0.028140187745459053,-3.632487632714654,5.443846780894356,0.010268562370642696,14.346098460728985
